,id,text,created_at
48,1495415406483623937,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:09:51.000Z
49,1495415399642402817,"RT @geloraco: Pernah Disubsidi Triliunan Rupiah, 5 Konglomerat Sawit ini Dianggap Tidak Percaya Lagi ke Jokowi
https://t.co/9MPBcBasCw",2022-02-20T15:09:49.000Z
50,1495415393795842048,"RT @ChusnulCh__: Kalo memang tdk setuju dgn aturan baru JHT, silahkn dikritik aja, salahnya dimana, seharusnya bgmn, kalo belum apa2 sdh mi…",2022-02-20T15:09:48.000Z
51,1495415388410380297,"RT @CasanovaX8X: LOMBOK #MandalikaCircuit
#JokowiBangunNusantara
@jokowi 🇮🇩
@Lemp3r
@AbidinBoryta 
@tnmuda
@nikilo2512
@caesar_emil
@RstmBc…",2022-02-20T15:09:46.000Z
52,1495415379887521795,@Aphroadita banyak tanya lah kau ku aduin jokowi juga lama lama,2022-02-20T15:09:44.000Z
53,1495415341216038912,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:09:35.000Z
54,1495415335696371712,@jokowi Ini mah tugas menpora pak joko apa gak ad lagi tugas lain yg llebih penting yg butuh apresiasi dan attensi,2022-02-20T15:09:34.000Z
55,1495415326967689217,"RT @Urrangawak: Cek lokasi #IKN bareng Pak Bas, menteri era Jokowi yang di beri tugas bangun ibu kota NUSANTARA.

@KemenPU https://t.co/CLt…",2022-02-20T15:09:32.000Z
56,1495415326158168065,"Survei Median: Basis Pemilih Jokowi Berpendidikan Rendah

Klik untuk baca: https://t.co/CUU2eNxtGQ",2022-02-20T15:09:31.000Z
57,1495415309091864581,RT @08sarraah: Menteri BUMN @erickthohir menyebut BUMN dalam hal ini diminta oleh Presiden Joko Widodo (Jokowi) untuk mengintervensi menunt…,2022-02-20T15:09:27.000Z
58,1495415262908063750,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:09:16.000Z
59,1495415257623261187,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:09:15.000Z
60,1495415249024946176,RT @Abuyazid3: Pa @jokowi ga cape apa bohong terus? Pemeriksaan nya paling lama di akhirat kelak,2022-02-20T15:09:13.000Z
61,1495415241903017990,RT @CNNIndonesia: Survei Indikator: 70 Persen Warga Puas Kinerja Jokowi https://t.co/KJLB7Nrxxx,2022-02-20T15:09:11.000Z
62,1495415240384778244,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:09:11.000Z
63,1495415228351221764,"LOMBOK #MandalikaCircuit
#JokowiBangunNusantara
@jokowi 🇮🇩
@Lemp3r
@AbidinBoryta 
@tnmuda
@nikilo2512
@caesar_emil
@RstmBcl
@Akun___Receh
@Annas_Cim
@Haddie_st
@RickyKardjono
@CryptoKuta
@Just__Aya9
@july_77a
@AntoniusCDN
@TrisiyoWong
@newIding30 
@Suwarno888 
@WhitePole_ https://t.co/EaPZetkHwm",2022-02-20T15:09:08.000Z
64,1495415201507966976,"RT @JAGA_NKRI_: Sebagian bangsa ini hanya bisa mencaci, memaki, menghina dan memfitnah serta merendahkan Presiden Jokowi.

Padahal medeka b…",2022-02-20T15:09:02.000Z
65,1495415195325599744,"RT @Rizmaya__: Mantap 👍🏻
Kerja keras Presiden @jokowi  sudah jelas akan mendapatkan umpan balik dari rakyat, kepuasan terhadap kinerja Pak…",2022-02-20T15:09:00.000Z
66,1495415192490225664,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:09:00.000Z
67,1495415174827692033,Virus bisa hilang di kala bulusukan jokowi warga kampung terbiasa gak. bermasker https://t.co/RugnF9fpYQ,2022-02-20T15:08:55.000Z
68,1495415169467695108,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:08:54.000Z
69,1495415155085422593,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:08:51.000Z
70,1495415147329769472,"Woyyy Pak @jokowi. Ente jangan diem bae. 

Pecat tuh Menakertrans &amp; Menperin!!! https://t.co/EuAj0ZBPI8",2022-02-20T15:08:49.000Z
71,1495415141516836870,RT @sirajapadoha: Koq Orang2 seperti di video ini bebas banget ya teriak2 di Negara ini yg mau mengganti ideologi Pancasila dgn sistem Khil…,2022-02-20T15:08:47.000Z
72,1495415119487987715,RT @CNNIndonesia: Survei Indikator: 70 Persen Warga Puas Kinerja Jokowi https://t.co/KJLB7Nrxxx,2022-02-20T15:08:42.000Z
73,1495415109338136576,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:08:40.000Z
75,1495415095819923457,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:08:36.000Z
76,1495415067948752897,"RT @geloraco: Tidak Hanya Jual-beli Tanah, Jokowi Teken Aturan Urus STNK, SIM dan SKCK Wajib Pakai BPJS Kesehatan
https://t.co/If0iICBLHN",2022-02-20T15:08:30.000Z
77,1495415061313355776,"RT @WagimanDeep212_: Jadi presiden indonesia saja pak!..

https://t.co/UQIT0nggjP",2022-02-20T15:08:28.000Z
78,1495415047488630791,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:08:25.000Z
79,1495415044112535553,"RT @SyaikhuMochtar: Benar dugaan slm ini, jk dana JHT sdh hbs dipinjam pemerintah buat nomboki APBN. Makanya Menaker bikin aturan 56th sesu…",2022-02-20T15:08:24.000Z
